,Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,Team,Loss?,Losses,Expected Losses
34,8,Saturday Apr 6,boxscore,CHW,@,KCR,L,0,3,,1-7,5,5.5,Wacha,Flexen,Stratton,2:11,N,15463.0,0.66,---,,2024 CHW,1,7,7
35,9,Sunday Apr 7,boxscore,CHW,@,KCR,L,3,5,,1-8,5,6.0,Schreiber,García,McArthur,2:29,D,14251.0,0.64,----,,2024 CHW,1,8,8
36,10,Monday Apr 8,boxscore,CHW,@,CLE,L,0,4,,1-9,5,7.0,McKenzie,Banks,,2:35,N,35735.0,0.59,-----,,2024 CHW,1,9,9
37,11,Tuesday Apr 9,boxscore,CHW,@,CLE,W,7,5,,2-9,5,6.0,Wilson,Barlow,Kopech,2:45,N,14887.0,0.57,+,,2024 CHW,0,9,9
38,12,Wednesday Apr 10,boxscore,CHW,@,CLE,L-wo,6,7,10.0,2-10,5,7.0,Morgan,Shaw,,2:57,N,12405.0,0.59,-,,2024 CHW,1,10,10
39,13,Friday Apr 12,boxscore,CHW,,CIN,L,1,11,,2-11,5,7.5,Abbott,Flexen,,2:43,N,11337.0,0.48,--,,2024 CHW,1,11,11
40,14,Saturday Apr 13,boxscore,CHW,,CIN,L,0,5,,2-12,5,7.5,Lodolo,Crochet,,2:29,D,22598.0,0.44,---,,2024 CHW,1,12,12
41,15,Sunday Apr 14,boxscore,CHW,,CIN,L,4,11,,2-13,5,8.0,Ashcraft,Soroka,,2:57,D,17589.0,0.43,----,,2024 CHW,1,13,13
42,16,Monday Apr 15,boxscore,CHW,,KCR,L,0,2,,2-14,5,9.0,Lugo,Nastrini,McArthur,2:17,N,10569.0,0.43,-----,,2024 CHW,1,14,14
43,17,Wednesday Apr 17 (1),boxscore,CHW,,KCR,L,2,4,,2-15,5,9.0,Anderson,Kopech,McArthur,2:31,D,,0.35,------,,2024 CHW,1,15,15
44,18,Wednesday Apr 17 (2),boxscore,CHW,,KCR,W,2,1,,3-15,5,9.0,Fedde,Wacha,García,2:16,D,10412.0,0.3,+,,2024 CHW,0,15,15
45,19,Friday Apr 19,boxscore,CHW,@,PHI,L,0,7,,3-16,5,10.5,Turnbull,Crochet,,2:18,N,39069.0,0.33,-,,2024 CHW,1,16,17
46,20,Saturday Apr 20,boxscore,CHW,@,PHI,L,5,9,,3-17,5,11.5,Wheeler,Soroka,Alvarado,3:03,N,44546.0,0.28,--,,2024 CHW,1,17,17
47,21,Sunday Apr 21,boxscore,CHW,@,PHI,L,2,8,,3-18,5,12.5,Nola,Nastrini,,2:37,D,43614.0,0.25,---,,2024 CHW,1,18,18
48,22,Monday Apr 22,boxscore,CHW,@,MIN,L,0,7,,3-19,5,13.0,Paddack,Cannon,,2:19,N,12443.0,0.23,----,,2024 CHW,1,19,19
49,23,Tuesday Apr 23,boxscore,CHW,@,MIN,L-wo,5,6,,3-20,5,14.0,Jackson,Wilson,,2:46,N,11223.0,0.2,-----,,2024 CHW,1,20,20
50,24,Wednesday Apr 24,boxscore,CHW,@,MIN,L,3,6,,3-21,5,14.0,Ryan,Crochet,Jax,2:29,N,12546.0,0.16,------,,2024 CHW,1,21,21
51,25,Thursday Apr 25,boxscore,CHW,@,MIN,L,3,6,,3-22,5,15.0,Sands,Banks,Jax,2:30,D,20363.0,0.16,-------,,2024 CHW,1,22,22
52,26,Friday Apr 26,boxscore,CHW,,TBR,W,9,4,,4-22,5,14.0,Flexen,Eflin,,2:41,N,10323.0,0.12,+,,2024 CHW,0,22,22
53,27,Saturday Apr 27,boxscore,CHW,,TBR,W-wo,8,7,10.0,5-22,5,14.0,García,Maton,,2:59,N,28009.0,0.14,++,,2024 CHW,0,22,22
54,28,Sunday Apr 28,boxscore,CHW,,TBR,W,4,2,,6-22,5,13.0,Fedde,Littell,Leasure,2:06,D,12669.0,0.15,+++,,2024 CHW,0,22,22
55,29,Monday Apr 29,boxscore,CHW,,MIN,L,2,3,,6-23,5,13.5,Jax,Brebbia,Thielbar,2:34,N,10772.0,0.19,-,,2024 CHW,1,23,23
56,30,Tuesday Apr 30,boxscore,CHW,,MIN,L,5,6,,6-24,5,13.5,Thielbar,Kopech,Durán,3:04,N,11609.0,0.16,--,,2024 CHW,1,24,24
57,31,Wednesday May 1,boxscore,CHW,,MIN,L,5,10,,6-25,5,14.5,Ober,Leone,,2:48,D,12216.0,0.13,---,,2024 CHW,1,25,25
58,32,Friday May 3,boxscore,CHW,@,STL,L,0,3,,6-26,5,14.0,Gray,Keller,Helsley,2:21,N,34010.0,0.1,----,,2024 CHW,1,26,25
59,33,Saturday May 4,boxscore,CHW,@,STL,W,6,5,10.0,7-26,5,14.0,Kopech,Fernandez,Banks,3:12,D,38559.0,0.08,+,,2024 CHW,0,26,26
60,34,Sunday May 5,boxscore,CHW,@,STL,W,5,1,,8-26,5,14.0,Crochet,Gallegos,,2:28,D,43046.0,0.09,++,,2024 CHW,0,26,26
61,35,Monday May 6,boxscore,CHW,@,TBR,L,2,8,,8-27,5,15.0,Ramírez,Clevinger,,2:33,N,12042.0,0.11,-,,2024 CHW,1,27,27
62,36,Tuesday May 7,boxscore,CHW,@,TBR,L,1,5,,8-28,5,15.0,Eflin,Soroka,,2:18,N,10872.0,0.08,--,,2024 CHW,1,28,28
63,37,Wednesday May 8,boxscore,CHW,@,TBR,W,4,1,,9-28,5,15.0,Flexen,Civale,Kopech,2:32,N,12877.0,0.07,+,,2024 CHW,0,28,29
64,38,Thursday May 9,boxscore,CHW,,CLE,W,3,2,,10-28,5,14.0,Fedde,Lively,Kopech,2:22,N,10495.0,0.09,++,,2024 CHW,0,28,29
65,39,Friday May 10,boxscore,CHW,,CLE,W,6,3,,11-28,5,13.0,Crochet,Carrasco,Leasure,2:15,N,17319.0,0.1,+++,,2024 CHW,0,28,29
