Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Saturday Jun 4 (2),boxscore,BOS,,WSH,W,9,8,,9-35,8,21.5,Durham,Fischer,Moore,2:20,D,6000,.01,++,
45,Sunday Jun 5,boxscore,BOS,@,NYY,L,1,12,,9-36,8,22.5,Pipgras,Weiland,,1:57,D,12000,.01,-,
46,Tuesday Jun 7,boxscore,BOS,@,SLB,L,1,6,,9-37,8,23.5,Stewart,Moore,,1:26,D,,.00,--,
47,Wednesday Jun 8,boxscore,BOS,@,SLB,L,4,11,,9-38,8,24.5,Gray,Kline,,1:54,D,700,.00,---,
48,Thursday Jun 9,boxscore,BOS,@,SLB,L,1,2,,9-39,8,24.5,Blaeholder,Weiland,,1:38,D,700,.01,----,
49,Friday Jun 10,boxscore,BOS,@,SLB,L,3,4,,9-40,8,25.5,Hadley,Michaels,Kimsey,2:00,D,4000,.00,-----,
50,Saturday Jun 11,boxscore,BOS,@,CHW,W,4,1,,10-40,8,24.5,Andrews,Gaston,,2:10,D,4500,.00,+,
51,Sunday Jun 12,boxscore,BOS,@,CHW,L,1,4,,10-41,8,25.5,Frazier,Appleton,Faber,1:43,D,10000,.00,-,
52,Monday Jun 13,boxscore,BOS,@,CHW,L,6,7,,10-42,8,26.5,Gregory,Moore,Faber,2:03,D,6000,.00,--,
53,Tuesday Jun 14,boxscore,BOS,@,CHW,W,5,4,11,11-42,8,26.5,Kline,Lyons,,2:09,D,5000,.00,+,
54,Wednesday Jun 15,boxscore,BOS,@,CLE,L,3,9,,11-43,8,26.5,Ferrell,Michaels,,1:43,D,,.00,-,
55,Saturday Jun 18,boxscore,BOS,@,CLE,L,2,9,,11-44,8,28.0,Harder,Andrews,,2:12,D,1500,.00,--,
56,Sunday Jun 19 (1),boxscore,BOS,@,CLE,L,3,9,,11-45,8,29.5,Connally,Weiland,,2:13,D,,.00,---,1932-06-16 (Rain)
57,Sunday Jun 19 (2),boxscore,BOS,@,CLE,L,3,6,,11-46,8,29.5,Brown,Kline,,1:47,D,,.00,----,
58,Monday Jun 20,boxscore,BOS,@,DET,L,4,6,,11-47,8,30.5,Whitehill,Andrews,,2:14,D,4000,.00,-----,
59,Tuesday Jun 21,boxscore,BOS,@,DET,L,2,3,,11-48,8,31.5,Hogsett,Michaels,,2:03,D,2500,.00,------,
60,Wednesday Jun 22,boxscore,BOS,@,DET,L,5,6,,11-49,8,31.5,Uhle,Durham,,1:59,D,,.00,-------,
61,Thursday Jun 23,boxscore,BOS,@,DET,L,3,6,,11-50,8,31.5,Bridges,Weiland,Hogsett,2:12,D,4010,.00,--------,
62,Saturday Jun 25,boxscore,BOS,@,WSH,W,7,6,,12-50,8,31.5,Kline,Crowder,Moore,2:31,D,3000,.00,+,
63,Sunday Jun 26,boxscore,BOS,@,WSH,L,4,8,,12-51,8,32.5,Brown,Appleton,,1:45,D,3000,.00,-,
64,Monday Jun 27 (1),boxscore,BOS,@,PHA,L,8,15,,12-52,8,33.5,Earnshaw,Andrews,,1:56,D,,.00,--,1932-04-27 (Cold)
65,Monday Jun 27 (2),boxscore,BOS,@,PHA,L,4,9,,12-53,8,33.5,Freitas,Kline,,1:43,D,2000,.00,---,
66,Tuesday Jun 28,boxscore,BOS,@,PHA,L,4,5,,12-54,8,34.5,Krausse,Moore,,1:41,D,,.00,----,
67,Thursday Jun 30,boxscore,BOS,,NYY,L,4,15,,12-55,8,36.0,MacFayden,Michaels,,2:07,D,2500,.00,-----,
68,Friday Jul 1,boxscore,BOS,,NYY,W,11,6,,13-55,8,35.0,Moore,Brown,,2:15,D,4000,.00,+,
69,Saturday Jul 2 (1),boxscore,BOS,,NYY,L,5,8,,13-56,8,35.0,Pennock,Weiland,,2:20,D,,.00,-,1932-04-17 (Cold)
70,Saturday Jul 2 (2),boxscore,BOS,,NYY,W,6,5,,14-56,8,35.0,Michaels,Ruffing,,2:02,D,7000,.00,+,
71,Sunday Jul 3,boxscore,BOS,,NYY,L,2,13,,14-57,8,36.0,Pipgras,Andrews,,2:28,D,7000,.00,-,
72,Wednesday Jul 6,boxscore,BOS,,SLB,W-wo,5,4,,15-57,8,34.5,Weiland,Blaeholder,,2:01,D,1500,.00,+,
73,Thursday Jul 7,boxscore,BOS,,SLB,L,2,8,,15-58,8,34.5,Hadley,Michaels,,2:04,D,2000,.00,-,
74,Friday Jul 8,boxscore,BOS,,SLB,L,4,8,,15-59,8,35.5,Stewart,Gallagher,,1:40,D,2500,.00,--,
75,Saturday Jul 9,boxscore,BOS,,SLB,W,4,2,,16-59,8,36.0,Andrews,Fischer,,1:41,D,2000,.00,+,
76,Sunday Jul 10 (1),boxscore,BOS,,DET,L,5,7,,16-60,8,35.0,Wyatt,Durham,Marrow,2:20,D,,.00,-,1932-05-09 (Cold)
77,Sunday Jul 10 (2),boxscore,BOS,,DET,W,13,2,,17-60,8,35.0,Weiland,Goldstein,,1:58,D,10000,.00,+,
78,Monday Jul 11,boxscore,BOS,,DET,L,3,5,,17-61,8,36.0,Uhle,Appleton,,2:05,D,2000,.00,-,
79,Tuesday Jul 12,boxscore,BOS,,DET,W,3,2,,18-61,8,36.0,Kline,Sorrell,,1:50,D,2000,.00,+,
80,Wednesday Jul 13,boxscore,BOS,,DET,W,8,7,,19-61,8,36.0,Durham,Whitehill,Moore,2:02,D,2000,.00,++,
81,Thursday Jul 14,boxscore,BOS,,CHW,L,8,9,11,19-62,8,36.0,Jones,Moore,,2:40,D,3000,.00,-,
82,Friday Jul 15,boxscore,BOS,,CHW,L,2,4,11,19-63,8,37.0,Faber,Boerner,Lyons,2:12,D,5000,.00,--,
83,Saturday Jul 16,boxscore,BOS,,CHW,W,3,0,,20-63,8,36.0,Kline,Daglia,,1:35,D,4000,.00,+,
84,Sunday Jul 17 (1),boxscore,BOS,,CLE,L,4,5,,20-64,8,38.0,Connally,Michaels,,1:52,D,,.00,-,1932-05-13 (Rain)
85,Sunday Jul 17 (2),boxscore,BOS,,CLE,L,6,8,11,20-65,8,38.0,Hudlin,Moore,,2:17,D,10000,.00,--,
86,Monday Jul 18,boxscore,BOS,,CLE,W,4,2,,21-65,8,38.0,Andrews,Russell,,1:42,D,2000,.00,+,
87,Tuesday Jul 19,boxscore,BOS,,CLE,L,0,7,,21-66,8,39.0,Ferrell,Weiland,,1:50,D,2000,.00,-,
88,Wednesday Jul 20,boxscore,BOS,,CLE,L,1,8,,21-67,8,40.0,Harder,Kline,,1:53,D,2000,.00,--,
89,Thursday Jul 21,boxscore,BOS,@,NYY,W,3,2,,22-67,8,39.0,Moore,Wells,,2:10,D,5000,.00,+,
