Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Wednesday May 15,boxscore,CHW,,WSN,W,2,0,,14-30,5,13.0,Crochet,Corbin,Kopech,2:16,D,11008,.11,++,
45,Friday May 17,boxscore,CHW,@,NYY,L,2,4,,14-31,5,14.0,Cortés,Clevinger,Holmes,2:32,N,46025,.13,-,
46,Saturday May 18,boxscore,CHW,@,NYY,L,1,6,,14-32,5,15.0,Gil,Keller,,2:29,D,43194,.11,--,
47,Sunday May 19,boxscore,CHW,@,NYY,L,2,7,,14-33,5,16.0,Rodón,Flexen,,2:33,D,41041,.09,---,
48,Monday May 20,boxscore,CHW,@,TOR,L,3,9,,14-34,5,17.0,Berríos,Fedde,,2:35,D,36993,.07,----,
49,Tuesday May 21,boxscore,CHW,@,TOR,W,5,0,,15-34,5,17.0,Crochet,Kikuchi,,2:21,N,28176,.07,+,
50,Wednesday May 22,boxscore,CHW,@,TOR,L,2,9,,15-35,5,18.0,Bassitt,Nastrini,,2:43,N,28670,.07,-,
51,Thursday May 23,boxscore,CHW,,BAL,L,6,8,,15-36,5,18.5,Rodriguez,Clevinger,Kimbrel,3:09,N,15843,.05,--,
52,Friday May 24,boxscore,CHW,,BAL,L,4,6,,15-37,5,19.5,Cano,Brebbia,Kimbrel,2:57,N,18831,.04,---,
53,Saturday May 25,boxscore,CHW,,BAL,L,3,5,,15-38,5,20.5,Tate,Kopech,Pérez,2:51,D,22283,.03,----,
54,Sunday May 26,boxscore,CHW,,BAL,L,1,4,,15-39,5,21.5,Bradish,Crochet,Kimbrel,2:31,D,14992,.02,-----,
55,Monday May 27,boxscore,CHW,,TOR,L,1,5,,15-40,5,21.5,Bassitt,Nastrini,,2:40,D,14993,.01,------,
56,Tuesday May 28,boxscore,CHW,,TOR,L,2,7,,15-41,5,22.5,Gausman,Woodford,,2:48,N,11852,.01,-------,
57,Wednesday May 29,boxscore,CHW,,TOR,L,1,3,,15-42,5,22.5,Richards,Flexen,Romano,2:31,N,11599,.01,--------,
58,Friday May 31,boxscore,CHW,@,MIL,L,5,12,,15-43,5,23.5,Paredes,Soroka,,3:02,N,30931,.00,---------,
59,Saturday Jun 1,boxscore,CHW,@,MIL,L-wo,3,4,10,15-44,5,24.5,Milner,Kopech,,2:45,D,36017,.01,----------,
60,Sunday Jun 2,boxscore,CHW,@,MIL,L,3,6,,15-45,5,24.5,Peralta,Nastrini,Paredes,2:29,D,30442,.00,-----------,
61,Tuesday Jun 4,boxscore,CHW,@,CHC,L,6,7,,15-46,5,25.5,Little,Leasure,Neris,2:28,N,38397,.00,------------,
62,Wednesday Jun 5,boxscore,CHW,@,CHC,L-wo,6,7,,15-47,5,26.0,Neris,Kopech,,2:55,N,40073,.00,-------------,
63,Thursday Jun 6,boxscore,CHW,,BOS,L,2,14,,15-48,5,26.0,Houck,Woodford,,2:39,N,15568,.00,--------------,
64,Friday Jun 7,boxscore,CHW,,BOS,W,7,2,,16-48,5,25.0,Crochet,Criswell,Cannon,2:32,N,19684,.00,+,
65,Saturday Jun 8,boxscore,CHW,,BOS,W,6,1,,17-48,5,25.0,Banks,Bello,,2:51,D,26248,.00,++,
66,Sunday Jun 9,boxscore,CHW,,BOS,L,4,6,10,17-49,5,26.0,Jansen,Soroka,Booser,3:22,D,21055,.00,-,
67,Monday Jun 10,boxscore,CHW,@,SEA,L-wo,4,8,,17-50,5,26.5,Stanek,Leasure,,2:41,N,23027,.00,--,
68,Tuesday Jun 11,boxscore,CHW,@,SEA,L,3,4,,17-51,5,27.5,Thornton,Brebbia,Stanek,2:32,N,20005,.00,---,
69,Wednesday Jun 12,boxscore,CHW,@,SEA,L-wo,1,2,10,17-52,5,27.5,Thornton,Wilson,,2:33,N,23312,.00,----,
70,Thursday Jun 13,boxscore,CHW,@,SEA,W,3,2,10,18-52,5,27.0,Kopech,Muñoz,Banks,2:28,N,25567,.00,+,
71,Friday Jun 14,boxscore,CHW,@,ARI,L,1,7,,18-53,5,28.0,Nelson,Flexen,,2:19,N,23700,.00,-,
72,Saturday Jun 15,boxscore,CHW,@,ARI,W,9,2,,19-53,5,27.0,Fedde,Vieira,,2:57,N,38494,.00,+,
73,Sunday Jun 16,boxscore,CHW,@,ARI,L,5,12,,19-54,5,27.0,Montgomery,Thorpe,,2:49,D,37694,.00,-,
74,Tuesday Jun 18,boxscore,CHW,,HOU,W,2,0,,20-54,5,26.0,Cannon,Valdez,Brebbia,2:02,N,16763,.00,+,
75,Wednesday Jun 19,boxscore,CHW,,HOU,L,1,4,,20-55,5,27.0,Brown,Crochet,Hader,2:20,N,14124,.00,-,
76,Thursday Jun 20,boxscore,CHW,,HOU,L,3,5,,20-56,5,28.0,Scott,Wilson,Hader,2:50,D,14435,.00,--,
77,Friday Jun 21,boxscore,CHW,@,DET,L,1,2,,20-57,5,29.0,Flaherty,Fedde,Foley,2:06,N,24938,.00,---,
78,Saturday Jun 22,boxscore,CHW,@,DET,W,5,1,,21-57,5,29.0,Thorpe,Maeda,,2:43,D,29269,.00,+,
79,Sunday Jun 23,boxscore,CHW,@,DET,L,2,11,,21-58,5,30.0,Olson,Cannon,,2:45,D,22975,.00,-,
80,Monday Jun 24,boxscore,CHW,,LAD,L,0,3,,21-59,5,31.0,Hudson,Wilson,Vesia,2:28,N,25070,.00,--,
81,Tuesday Jun 25,boxscore,CHW,,LAD,L,3,4,,21-60,5,32.0,Petersen,Flexen,Phillips,2:49,N,23662,.00,---,
82,Wednesday Jun 26,boxscore,CHW,,LAD,L,0,4,,21-61,5,32.0,Stone,Fedde,,2:02,N,36225,.00,----,
83,Thursday Jun 27,boxscore,CHW,,ATL,W,1,0,,22-61,5,31.0,Shuster,Sale,Kopech,2:14,D,12656,.00,+,
84,Friday Jun 28,boxscore,CHW,,COL,W,5,3,,23-61,5,30.0,Thorpe,Hudson,Kopech,2:18,N,24422,.00,++,
85,Saturday Jun 29,boxscore,CHW,,COL,W,11,3,,24-61,5,30.0,Banks,Quantrill,,2:36,D,21490,.00,+++,
86,Sunday Jun 30,boxscore,CHW,,COL,L,4,5,14,24-62,5,30.0,Beeks,Soroka,,3:25,D,19334,.00,-,
87,Tuesday Jul 2,boxscore,CHW,@,CLE,L-wo,6,7,,24-63,5,31.0,Clase,Kopech,,2:25,N,25654,.00,--,
88,Wednesday Jul 3,boxscore,CHW,@,CLE,W,8,2,,25-63,5,30.0,Fedde,Williams,,2:35,N,37151,.00,+,
89,Thursday Jul 4,boxscore,CHW,@,CLE,L,4,8,,25-64,5,31.0,Lively,Shuster,,2:45,D,29404,.00,-,
90,Friday Jul 5,boxscore,CHW,@,MIA,W,3,2,,26-64,5,30.0,Thorpe,Hoeing,Kopech,2:57,N,10136,.00,+,
91,Saturday Jul 6,boxscore,CHW,@,MIA,L,3,4,,26-65,5,31.0,Brazobán,Soroka,Scott,2:35,D,13409,.00,-,
92,Sunday Jul 7,boxscore,CHW,@,MIA,L-wo,4,7,,26-66,5,32.0,Chargois,Kopech,,2:52,D,12268,.00,--,
93,Monday Jul 8,boxscore,CHW,,MIN,L,6,8,11,26-67,5,32.0,Durán,Shuster,Funderburk,3:18,N,10881,.00,---,
94,Wednesday Jul 10 (1),boxscore,CHW,,MIN,W,3,1,,27-67,5,32.0,Fedde,Ober,Kopech,2:05,D,,.00,+,
95,Wednesday Jul 10 (2),boxscore,CHW,,MIN,L,2,3,,27-68,5,32.0,Okert,Soroka,Durán,2:23,D,13607,.00,-,
96,Friday Jul 12,boxscore,CHW,,PIT,L,1,4,,27-69,5,31.5,Gonzales,Cannon,Bednar,2:11,N,19548,.00,--,
97,Saturday Jul 13,boxscore,CHW,,PIT,L,2,6,,27-70,5,32.5,Nicolas,Flexen,,2:39,D,20437,.00,---,
98,Sunday Jul 14,boxscore,CHW,,PIT,L,4,9,,27-71,5,32.5,Priester,Kuhl,,2:47,D,16501,.00,----,
99,Friday Jul 19,boxscore,CHW,@,KCR,L,1,7,,27-72,5,33.5,Wacha,Flexen,,2:25,N,26693,.00,-----,
100,Saturday Jul 20,boxscore,CHW,@,KCR,L,1,6,,27-73,5,33.5,Singer,Cannon,,2:10,N,27545,.00,------,
101,Sunday Jul 21,boxscore,CHW,@,KCR,L,1,4,,27-74,5,33.5,Lugo,Brebbia,,2:08,D,22226,.00,-------,
102,Monday Jul 22,boxscore,CHW,@,TEX,L-wo,3,4,10,27-75,5,33.5,Hernández,Wilson,,2:43,N,30832,.00,--------,
103,Tuesday Jul 23,boxscore,CHW,@,TEX,L,2,3,,27-76,5,34.5,Gray,Crochet,Yates,2:12,N,39240,.00,---------,
104,Wednesday Jul 24,boxscore,CHW,@,TEX,L,2,10,,27-77,5,35.5,Eovaldi,Flexen,,2:34,N,36989,.00,----------,
105,Thursday Jul 25,boxscore,CHW,@,TEX,L,1,2,,27-78,5,35.5,Scherzer,Cannon,Robertson,2:22,D,32913,.00,-----------,
106,Friday Jul 26,boxscore,CHW,,SEA,L,0,10,,27-79,5,36.5,Kirby,Thorpe,,2:27,N,20170,.00,------------,
107,Saturday Jul 27,boxscore,CHW,,SEA,L,3,6,,27-80,5,36.5,Snider,Fedde,Muñoz,2:58,N,21037,.00,-------------,
