Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
44,Saturday Jun 2 (1),boxscore,NYM,,SFG,L,1,10,,12-32,10,22.0,Sanford,Hook,,3:08,D,,.02,-------------,
45,Saturday Jun 2 (2),boxscore,NYM,,SFG,L,4,6,,12-33,10,22.0,O'Dell,Anderson,Miller,3:32,D,41001,.01,--------------,
46,Sunday Jun 3,boxscore,NYM,,SFG,L,1,6,,12-34,10,23.0,Marichal,Miller,,3:02,D,34102,.00,---------------,
47,Wednesday Jun 6 (1),boxscore,NYM,@,PHI,L,0,2,,12-35,10,24.0,McLish,Craig,,2:40,N,,.00,----------------,
48,Wednesday Jun 6 (2),boxscore,NYM,@,PHI,L-wo,1,2,,12-36,10,24.0,Mahaffey,Jackson,,2:23,N,8681,.00,-----------------,1962-05-06 (Sunday curfew)
49,Friday Jun 8 (1),boxscore,NYM,@,CHC,W,4,3,,13-36,10,23.5,Hook,Hobbie,Anderson,2:44,D,,.00,+,1962-05-09 (Cold)
50,Friday Jun 8 (2),boxscore,NYM,@,CHC,L,2,3,8,13-37,10,23.5,Koonce,Miller,Elston,2:41,D,6483,.00,-,
51,Saturday Jun 9,boxscore,NYM,@,CHC,W,11,6,,14-37,10,22.5,Hunter,Buhl,Hillman,3:34,D,7544,.00,+,
52,Sunday Jun 10 (1),boxscore,NYM,@,CHC,W,2,1,,15-37,10,23.5,Craig,Ellsworth,MacKenzie,2:29,D,,.01,++,1962-05-10 (Wet grounds)
53,Sunday Jun 10 (2),boxscore,NYM,@,CHC,L-wo,4,5,10,15-38,10,23.5,Schultz,MacKenzie,,2:47,D,16232,.00,-,
54,Monday Jun 11,boxscore,NYM,@,HOU,W,3,1,,16-38,10,23.0,Jackson,Farrell,,2:10,N,8920,.00,+,
55,Tuesday Jun 12,boxscore,NYM,@,HOU,L-wo,2,3,,16-39,10,23.0,Johnson,Anderson,,2:25,N,7344,.00,-,
56,Thursday Jun 14,boxscore,NYM,@,HOU,L,2,10,,16-40,10,23.5,Bruce,Hook,,3:00,N,10761,.00,--,
57,Friday Jun 15,boxscore,NYM,,CHC,L,1,5,,16-41,10,23.5,Anderson,Craig,Gerard,2:30,N,8983,.00,---,
58,Saturday Jun 16,boxscore,NYM,,CHC,L,3,6,,16-42,10,23.5,Cardwell,Hunter,Elston,3:03,D,9175,.00,----,
59,Sunday Jun 17 (1),boxscore,NYM,,CHC,L,7,8,,16-43,10,25.0,Gerard,Jackson,Elston,2:59,D,,.00,-----,
60,Sunday Jun 17 (2),boxscore,NYM,,CHC,L,3,4,,16-44,10,25.0,Cardwell,Mizell,,3:20,D,13128,.00,------,
61,Monday Jun 18,boxscore,NYM,,MLN,L,1,7,,16-45,10,26.0,Shaw,Hook,,2:43,N,9132,.00,-------,
62,Tuesday Jun 19,boxscore,NYM,,MLN,W,6,5,,17-45,10,26.0,Craig,Curtis,,2:44,D,3862,.00,+,
63,Wednesday Jun 20 (1),boxscore,NYM,,MLN,L,4,9,,17-46,10,26.5,Cloninger,Daviault,,3:09,D,,.00,-,
64,Wednesday Jun 20 (2),boxscore,NYM,,MLN,L,2,3,6,17-47,10,26.5,Hendley,Hunter,Burdette,2:07,D,6643,.00,--,
65,Friday Jun 22 (1),boxscore,NYM,,HOU,W,2,0,,18-47,10,26.0,Jackson,Farrell,,2:14,D,,.00,+,1962-04-16 (Cold)
66,Friday Jun 22 (2),boxscore,NYM,,HOU,L,3,16,,18-48,10,26.0,Golden,Miller,,2:54,N,11484,.00,-,
67,Saturday Jun 23,boxscore,NYM,,HOU,W,13,2,,19-48,10,26.0,Hook,Johnson,,2:28,D,6425,.00,+,
68,Monday Jun 25,boxscore,NYM,@,PIT,L &H,3,13,,19-49,10,25.5,Law,Anderson,,2:50,N,9310,.00,-,
69,Tuesday Jun 26,boxscore,NYM,@,PIT,L,2,5,,19-50,10,26.0,Francis,Hunter,Face,2:34,N,9534,.00,--,
70,Wednesday Jun 27,boxscore,NYM,@,PIT,L-wo,5,6,10,19-51,10,27.0,Olivo,Craig,,3:00,N,12468,.00,---,
71,Thursday Jun 28,boxscore,NYM,@,LAD,L-wo,4,5,13,19-52,10,27.5,Roebuck,MacKenzie,,4:09,N,19080,.00,----,
72,Friday Jun 29,boxscore,NYM,@,LAD,W,10,4,,20-52,10,27.0,Hook,Moeller,,3:33,N,24366,.00,+,
73,Saturday Jun 30,boxscore,NYM,@,LAD,L,0,5,,20-53,10,28.0,Koufax,Miller,,2:46,N,29797,.00,-,
74,Sunday Jul 1,boxscore,NYM,@,LAD,L,1,5,,20-54,10,29.0,Drysdale,Craig,,2:29,D,23241,.00,--,
75,Monday Jul 2,boxscore,NYM,@,SFG,W,8,5,,21-54,10,29.0,MacKenzie,Miller,Miller,3:15,N,11058,.00,+,
76,Tuesday Jul 3,boxscore,NYM,@,SFG,L,1,10,,21-55,10,29.5,Sanford,Jackson,,2:35,D,7083,.00,-,
77,Wednesday Jul 4 (1),boxscore,NYM,@,SFG,L,4,11,,21-56,10,31.5,Bolin,Miller,,2:46,D,,.00,--,
78,Wednesday Jul 4 (2),boxscore,NYM,@,SFG,L,3,10,,21-57,10,31.5,O'Dell,Hunter,,3:00,D,33253,.00,---,
79,Friday Jul 6,boxscore,NYM,,STL,W,10,3,,22-57,10,31.0,Craig,Sadecki,,2:36,N,14515,.00,+,
80,Saturday Jul 7 (1),boxscore,NYM,,STL,W-wo,5,4,,23-57,10,31.0,Daviault,Broglio,,2:53,D,,.00,++,
81,Saturday Jul 7 (2),boxscore,NYM,,STL,L,2,3,,23-58,10,31.0,Washburn,Anderson,McDaniel,2:23,D,16530,.00,-,
82,Sunday Jul 8,boxscore,NYM,,STL,L,1,15,,23-59,10,31.5,Gibson,Hook,,2:47,D,12460,.00,--,
83,Thursday Jul 12,boxscore,NYM,,LAD,L,0,3,,23-60,10,32.5,Koufax,Craig,Sherry,2:36,N,15719,.00,---,
84,Friday Jul 13,boxscore,NYM,,LAD,L,4,5,,23-61,10,33.5,Drysdale,Jackson,,2:39,N,23910,.00,----,
85,Saturday Jul 14,boxscore,NYM,,LAD,L,3,17,,23-62,10,34.5,Williams,Anderson,,2:51,D,37253,.00,-----,
86,Sunday Jul 15 (1),boxscore,NYM,,SFG,W,5,3,,24-62,10,34.5,Hook,Pierce,,3:08,D,,.00,+,
87,Sunday Jul 15 (2),boxscore,NYM,,SFG,L,8,9,,24-63,10,34.5,Bolin,Hunter,Marichal,3:01,D,35463,.00,-,
88,Monday Jul 16,boxscore,NYM,,SFG,L,2,3,,24-64,10,35.0,Sanford,Craig,Garibaldi,3:03,N,23280,.00,--,
89,Thursday Jul 19 (1),boxscore,NYM,,PIT,L,1,5,,24-65,10,35.5,Friend,Jackson,,2:23,D,,.00,---,
90,Thursday Jul 19 (2),boxscore,NYM,,PIT,L,6,7,10,24-66,10,35.5,Face,Hook,,3:36,N,16540,.00,----,1962-04-15 (Rain)
91,Friday Jul 20,boxscore,NYM,@,CIN,L,1,3,,24-67,10,36.5,Jay,Craig,,2:23,N,12764,.00,-----,
92,Saturday Jul 21,boxscore,NYM,@,CIN,L,3,5,,24-68,10,37.5,Purkey,Anderson,,2:30,D,8381,.00,------,
93,Sunday Jul 22 (1),boxscore,NYM,@,CIN,L,4,11,,24-69,10,39.0,Nuxhall,Jackson,Klippstein,2:43,D,,.00,-------,
94,Sunday Jul 22 (2),boxscore,NYM,@,CIN,L-wo,3,4,,24-70,10,39.0,Brosnan,Craig,,2:31,D,16756,.00,--------,
95,Tuesday Jul 24,boxscore,NYM,@,MLN,L-wo,4,5,12,24-71,10,39.5,Shaw,Miller,,3:58,N,9971,.00,---------,
96,Wednesday Jul 25,boxscore,NYM,@,MLN,L,5,11,,24-72,10,40.5,Hendley,Craig,Fischer,3:08,N,9056,.00,----------,
97,Thursday Jul 26,boxscore,NYM,@,MLN,L,1,6,,24-73,10,41.0,Spahn,Anderson,,2:27,D,9749,.00,-----------,
98,Friday Jul 27 (1),boxscore,NYM,@,STL,W,1,0,,25-73,10,41.5,Jackson,Gibson,,2:14,D,,.00,+,
99,Friday Jul 27 (2),boxscore,NYM,@,STL,L,5,6,,25-74,10,41.5,Duliba,Daviault,McDaniel,2:52,N,18722,.00,-,
100,Saturday Jul 28,boxscore,NYM,@,STL,W,9,8,,26-74,10,41.5,MacKenzie,Simmons,Anderson,3:10,N,15008,.00,+,
101,Sunday Jul 29 (1),boxscore,NYM,@,STL,L,5,6,,26-75,10,43.0,Broglio,Daviault,Gibson,2:42,D,,.00,-,1962-04-10 (Rain)
